,Age,Gender,Count
2024,12,F,1
2024,13,F,3
2024,14,F,6
2024,14,M,1
2024,15,F,9
2024,15,M,2
2024,16,F,36
2024,16,M,8
2024,17,F,64
2024,17,M,24
2024,18,F,101
2024,18,M,51
2024,19,F,163
2024,19,M,85
2024,20,F,208
2024,20,M,172
2024,21,F,264
2024,21,M,267
2024,22,F,315
2024,22,M,383
2024,23,F,372
2024,23,M,443
2024,24,F,463
2024,24,M,445
2024,25,F,443
2024,25,M,458
2024,26,F,419
2024,26,M,445
2024,27,F,422
2024,27,M,461
2024,28,F,412
2024,28,M,419
2024,29,F,318
2024,29,M,356
2024,30,F,311
2024,30,M,339
2024,31,F,254
2024,31,M,261
2024,32,F,215
2024,32,M,215
2024,33,F,161
2024,33,M,154
2024,34,F,137
2024,34,M,144
2024,35,F,83
2024,35,M,110
2024,36,F,72
2024,36,M,106
2024,37,F,49
2024,37,M,64
2024,38,F,40
2024,38,M,46
2024,39,F,30
2024,39,M,34
2024,40,F,19
2024,40,M,30
2024,41,F,13
2024,41,M,20
2024,42,F,6
2024,42,M,29
2024,43,F,6
2024,43,M,16
2024,44,F,13
2024,44,M,15
2024,45,F,3
2024,45,M,11
2024,46,F,3
2024,46,M,3
2024,47,F,4
2024,47,M,3
2024,48,F,1
2024,48,M,4
2024,49,F,3
2024,49,M,5
2024,50,F,1
2024,50,M,4
2024,51,F,1
2024,51,M,6
2024,52,M,4
2024,53,F,1
2024,53,M,1
2024,54,M,2
2024,55,F,2
2024,55,M,1
2024,56,M,1
2024,57,F,2
2024,57,M,1
2024,58,F,1
2024,58,M,2
2024,59,F,2
2024,59,M,1
2024,60,M,2
2024,61,F,2
2024,61,M,1
2024,62,M,2
2024,65,M,1
2024,70,F,1
