Year,Age,Gender,Count
1896,17,M,1
1896,20,M,1
1896,21,M,10
1896,22,M,3
1896,23,M,4
1896,24,M,3
1896,25,M,9
1896,27,M,3
1900,15,M,3
1900,16,M,1
1900,17,M,4
1900,18,M,12
1900,19,M,9
1900,20,M,13
1900,21,M,21
1900,22,M,11
1900,23,F,1
1900,23,M,24
1900,24,M,25
1900,25,M,22
1900,26,M,13
1900,27,M,12
1900,28,M,13
1900,29,F,2
1900,29,M,21
1900,30,M,7
1900,31,M,17
1900,32,F,4
1900,32,M,9
1900,33,F,2
1900,33,M,5
1900,34,M,18
1900,35,M,7
1900,36,M,8
1900,37,M,11
1900,38,M,6
1900,39,M,1
1900,40,M,10
1900,41,M,2
1900,42,F,1
1900,42,M,7
1900,43,M,2
1900,44,M,3
1900,45,M,4
1900,46,M,1
1900,48,M,1
1900,49,M,4
1900,52,M,2
1900,53,M,3
1900,56,M,2
1900,57,M,1
1900,69,M,1
1904,15,M,1
1904,16,M,2
1904,17,M,5
1904,18,M,5
1904,19,M,27
1904,20,M,11
1904,21,M,14
1904,22,M,10
1904,23,M,19
1904,24,M,14
1904,25,M,19
1904,26,M,15
1904,27,M,16
1904,28,M,7
1904,29,M,25
1904,30,M,9
1904,31,M,2
1904,32,M,1
1904,33,M,14
1904,34,M,1
1904,35,M,2
1904,36,M,7
1904,37,M,3
1904,38,M,4
1904,40,M,3
1904,41,M,2
1904,42,M,4
1904,43,M,3
1904,47,M,2
1904,50,M,1
1904,53,M,1
1904,55,F,2
1904,68,M,2
1906,14,M,3
1906,16,M,1
1906,17,M,3
1906,18,M,4
1906,19,M,16
1906,20,M,13
1906,21,F,2
1906,21,M,23
1906,22,M,22
1906,23,M,29
1906,24,M,27
1906,25,M,16
1906,26,M,33
1906,27,M,9
1906,28,M,2
1906,29,M,7
1906,30,M,1
1906,31,M,9
1906,32,M,8
1906,33,M,11
1906,35,M,6
1906,36,M,1
1906,37,M,2
1906,40,M,4
1906,42,M,7
1906,43,M,13
1906,46,M,12
1906,50,M,1
1908,15,M,2
1908,16,M,8
1908,17,M,6
1908,18,M,12
1908,19,M,30
1908,20,M,50
1908,21,M,61
1908,22,M,46
1908,23,M,53
1908,24,F,1
1908,24,M,44
1908,25,M,35
1908,26,F,2
1908,26,M,42
1908,27,F,1
1908,27,M,35
1908,28,M,35
1908,29,M,17
1908,30,F,1
1908,30,M,29
1908,31,M,12
1908,32,F,1
1908,32,M,10
1908,33,M,16
1908,34,F,1
1908,34,M,9
1908,35,F,1
1908,35,M,9
1908,36,F,1
1908,36,M,7
1908,37,M,9
1908,38,M,10
1908,39,F,1
1908,39,M,4
1908,40,M,16
1908,41,M,4
1908,42,M,4
1908,43,F,1
1908,43,M,4
1908,44,M,9
1908,45,M,3
1908,46,M,2
1908,47,F,1
1908,47,M,2
1908,48,M,1
1908,49,M,3
1908,51,M,3
1908,54,M,3
1908,56,M,2
1908,57,M,2
1912,13,F,2
1912,15,F,1
1912,15,M,1
1912,16,F,2
1912,16,M,4
1912,17,F,3
1912,17,M,6
1912,18,F,3
1912,18,M,13
1912,19,F,3
1912,19,M,46
1912,20,M,62
1912,21,M,63
1912,22,F,2
1912,22,M,51
1912,23,M,62
1912,24,M,86
1912,25,F,4
